iter	Passed	Remaining
0	146	146115
1	147	73470
2	148	49222
3	148	37082
4	149	29792
5	150	24992
6	152	21621
7	153	19014
8	154	16987
9	155	15360
10	156	14028
11	156	12916
12	157	11971
13	158	11164
14	159	10463
15	160	9850
16	160	9309
17	161	8829
18	162	8395
19	163	8014
20	164	7689
21	165	7379
22	167	7097
23	167	6828
24	168	6580
25	169	6348
26	170	6136
27	171	5941
28	172	5765
29	172	5593
30	173	5430
31	174	5277
32	175	5136
33	176	5008
34	177	4881
35	178	4772
36	180	4708
37	182	4608
38	183	4513
39	184	4417
40	185	4328
41	186	4242
42	186	4158
43	187	4079
44	188	4003
45	189	3931
46	190	3859
47	191	3792
48	192	3726
49	193	3676
50	194	3619
51	195	3564
52	196	3510
53	197	3455
54	198	3402
55	198	3352
56	199	3303
57	200	3256
58	201	3210
59	202	3166
60	202	3123
61	203	3081
62	204	3041
63	205	3001
64	206	2964
65	207	2941
66	209	2918
67	210	2887
68	211	2854
69	212	2822
70	213	2790
71	214	2759
72	214	2728
73	215	2700
74	216	2672
75	217	2643
76	218	2616
77	219	2589
78	219	2562
79	220	2537
80	221	2517
81	223	2499
82	223	2471
83	224	2450
84	225	2429
85	226	2408
86	227	2386
87	228	2365
88	228	2343
89	229	2323
90	230	2304
91	231	2285
92	232	2267
93	233	2248
94	234	2229
95	234	2211
96	235	2194
97	236	2180
98	237	2163
99	238	2148
100	239	2131
101	240	2114
102	241	2098
103	241	2082
104	242	2067
105	243	2052
106	244	2037
107	244	2022
108	245	2008
109	246	1994
110	247	1980
111	248	1966
112	248	1953
113	249	1940
114	250	1928
115	251	1917
116	252	1904
117	253	1892
118	254	1880
119	254	1868
120	255	1857
121	256	1844
122	257	1833
123	257	1822
124	258	1811
125	259	1800
126	260	1788
127	261	1778
128	262	1769
129	262	1759
130	263	1748
131	264	1738
132	265	1729
133	266	1721
134	267	1712
135	268	1703
136	268	1693
137	269	1684
138	270	1675
139	271	1666
140	272	1658
141	272	1647
142	273	1638
143	274	1630
144	274	1621
145	275	1613
146	276	1605
147	277	1597
148	279	1594
149	280	1588
150	281	1582
151	282	1575
152	283	1567
153	283	1559
154	284	1551
155	285	1543
156	286	1536
157	286	1528
158	287	1521
159	288	1514
160	289	1506
161	289	1499
162	290	1492
163	291	1485
164	292	1478
165	293	1472
166	293	1466
167	294	1459
168	295	1454
169	296	1448
170	297	1442
171	298	1435
172	299	1429
173	300	1424
174	300	1418
175	301	1412
176	302	1406
177	303	1400
178	303	1394
179	304	1388
180	305	1382
181	306	1377
182	307	1371
183	308	1366
184	308	1360
185	310	1360
186	312	1356
187	312	1351
188	313	1345
189	314	1340
190	315	1335
191	316	1330
192	317	1325
193	317	1320
194	318	1315
195	319	1310
196	320	1305
197	321	1300
198	321	1295
199	322	1290
200	323	1285
201	324	1280
202	325	1277
203	326	1272
204	326	1267
205	327	1263
206	328	1258
207	329	1253
208	330	1249
209	330	1244
210	331	1239
211	332	1235
212	333	1231
213	333	1226
214	334	1221
215	335	1217
216	336	1215
217	337	1212
218	339	1209
219	340	1206
220	341	1202
221	342	1199
222	343	1195
223	343	1191
224	344	1187
225	345	1183
226	346	1179
227	347	1175
228	347	1170
229	348	1166
230	349	1162
231	349	1158
232	350	1154
233	351	1150
234	352	1146
235	353	1142
236	353	1139
237	354	1135
238	355	1133
239	356	1129
240	357	1126
241	358	1122
242	359	1118
243	359	1114
244	360	1111
245	361	1108
246	362	1104
247	363	1101
248	363	1097
249	364	1093
250	365	1090
251	366	1086
252	366	1083
253	367	1079
254	368	1076
255	369	1074
256	370	1071
257	371	1068
258	372	1065
259	373	1062
260	374	1059
261	375	1058
262	376	1054
263	377	1051
264	378	1048
265	378	1045
266	379	1043
267	380	1040
268	381	1036
269	382	1033
270	383	1030
271	385	1030
272	386	1028
273	386	1025
274	387	1022
275	388	1019
276	389	1016
277	390	1013
278	391	1010
279	392	1008
280	392	1005
281	393	1002
282	394	999
283	395	996
284	396	993
285	397	991
286	397	988
287	398	985
288	399	983
289	400	981
290	401	978
291	402	975
292	403	973
293	404	970
294	405	967
295	406	966
296	407	963
297	407	961
298	408	958
299	409	955
300	410	953
301	411	950
302	412	948
303	412	945
304	414	943
305	415	941
306	416	939
307	417	937
308	418	935
309	419	933
310	420	930
311	420	928
312	421	925
313	422	923
314	423	921
315	424	918
316	425	916
317	426	914
318	427	911
319	427	909
320	428	906
321	429	904
322	430	903
323	431	900
324	432	898
325	433	896
